"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1965/08/01","00:00","2.313","1.703","NaN","0.692","NaN","NaN","-0.148","-0.486","0"
"1965/09/01","00:00","2.113","1.732","NaN","0.732","NaN","NaN","-0.075","-0.187","0"
"1965/10/01","00:00","1.913","1.644","NaN","0.663","NaN","NaN","-0.075","-0.387","0"
"1965/11/01","00:00","2.415","1.824","NaN","0.833","NaN","NaN","0.023","-0.285","0"
"1965/12/01","00:00","2.415","1.883","NaN","0.814","NaN","NaN","-0.108","-0.587","0"
"1966/01/01","00:00","2.615","1.883","NaN","0.745","NaN","NaN","-0.197","-0.587","0"
"1966/02/01","00:00","2.615","1.722","NaN","0.755","NaN","NaN","-0.085","-0.387","0"
"1966/03/01","00:00","2.113","1.624","NaN","0.663","NaN","NaN","-0.148","-0.486","0"
"1966/04/01","00:00","1.713","1.503","NaN","0.545","NaN","NaN","-0.256","-0.587","0"
"1966/05/01","00:00","1.913","1.542","NaN","0.472","NaN","NaN","-0.417","-0.686","0"
"1966/06/01","00:00","2.113","1.562","NaN","0.423","NaN","NaN","-0.495","-0.787","0"
"1966/07/01","00:00","2.113","1.644","NaN","0.574","NaN","NaN","-0.338","-0.787","0"
"1966/08/01","00:00","2.313","1.795","NaN","0.774","NaN","NaN","-0.056","-0.486","0"
"1966/09/01","00:00","2.113","1.673","NaN","0.774","NaN","NaN","0.043","-0.285","0"
"1966/10/01","00:00","2.313","1.834","NaN","0.814","NaN","NaN","0.033","-0.285","0"
"1966/11/01","00:00","2.313","1.893","NaN","0.804","NaN","NaN","-0.085","-0.387","0"
"1966/12/01","00:00","2.313","1.883","NaN","0.745","NaN","NaN","-0.148","-0.787","0"
"1967/01/01","00:00","2.313","1.663","NaN","0.584","NaN","NaN","-0.285","-0.587","0"
"1967/02/01","00:00","1.913","1.424","NaN","0.404","NaN","NaN","-0.427","-0.886","0"
"1967/03/01","00:00","1.713","1.365","NaN","0.433","NaN","NaN","-0.367","-0.787","0"
"1967/04/01","00:00","1.614","1.283","NaN","0.354","NaN","NaN","-0.397","-0.886","0"
"1967/05/01","00:00","1.614","1.234","NaN","0.272","NaN","NaN","-0.518","-1.086","0"
"1967/06/01","00:00","1.913","1.273","NaN","0.203","NaN","NaN","-0.656","-1.086","0"
"1967/07/01","00:00","2.113","1.624","NaN","0.564","NaN","NaN","-0.318","-0.587","0"
"1967/08/01","00:00","2.014","1.522","NaN","0.482","NaN","NaN","-0.338","-0.587","0"
"1967/09/01","00:00","2.113","1.732","NaN","0.712","NaN","NaN","-0.066","-0.387","0"
"1967/10/01","00:00","2.215","1.854","NaN","0.85","NaN","NaN","0.033","-0.285","0"
"1967/11/01","00:00","2.313","1.762","NaN","0.682","NaN","NaN","-0.207","-0.686","0"
"1967/12/01","00:00","2.415","1.834","NaN","0.673","NaN","NaN","-0.305","-0.686","0"
