Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf,station_id
1989/09/01,00:00,2.303,1.903,1.542,0.955,0.932,0.312,0.154,-0.118,0,1611400
1989/10/01,00:00,2.552,1.942,1.522,0.873,0.873,0.223,0.033,-0.348,0,1611400
1989/11/01,00:00,2.694,1.972,1.463,0.873,0.853,0.243,-0.016,-0.407,0,1611400
1989/12/01,00:00,2.533,1.883,1.483,0.774,0.774,0.062,-0.095,-0.456,0,1611400
1990/01/01,00:00,2.303,1.772,1.434,0.722,0.702,-0.026,-0.187,-0.728,0,1611400
1990/02/01,00:00,2.034,1.473,1.184,0.512,0.492,-0.197,-0.348,-0.748,0,1611400
1990/03/01,00:00,1.762,1.404,1.102,0.443,0.453,-0.207,-0.367,-0.958,0,1611400
1990/04/01,00:00,2.293,1.404,1.024,0.433,0.423,-0.177,-0.358,-0.558,0,1611400
1990/05/01,00:00,2.254,1.512,1.073,0.482,0.472,-0.138,-0.367,-0.866,0,1611400
1990/06/01,00:00,2.592,1.913,1.414,0.804,0.784,0.164,-0.108,-0.518,0,1611400
1990/07/01,00:00,2.425,1.854,1.512,0.823,0.823,0.125,-0.046,-0.397,0,1611400
1990/08/01,00:00,2.254,1.864,1.532,0.883,0.883,0.233,0.072,-0.256,0,1611400
1990/09/01,00:00,2.024,1.824,1.453,0.883,0.873,0.282,0.125,-0.177,0,1611400
1990/10/01,00:00,2.454,1.923,1.562,0.945,0.932,0.292,0.125,-0.157,0,1611400
1990/11/01,00:00,2.753,2.172,1.654,1.063,1.043,0.433,0.164,-0.387,0,1611400
1990/12/01,00:00,2.743,2.103,1.532,0.863,0.853,0.174,-0.108,-0.636,0,1611400
1991/01/01,00:00,2.625,1.844,1.375,0.722,0.702,0.033,-0.187,-0.476,0,1611400
1991/02/01,00:00,2.133,1.824,1.473,0.853,0.843,0.203,0.013,-0.367,0,1611400
1991/03/01,00:00,1.785,1.332,1.122,0.492,0.502,-0.118,-0.276,-0.518,0,1611400
1991/04/01,00:00,1.932,1.522,1.132,0.564,0.554,-0.036,-0.217,-0.558,0,1611400
1991/05/01,00:00,1.972,1.503,1.014,0.472,0.453,-0.095,-0.328,-0.856,0,1611400
1991/06/01,00:00,2.162,1.644,1.132,0.554,0.522,-0.085,-0.328,-0.837,0,1611400
1991/07/01,00:00,2.654,1.903,1.483,0.863,0.853,0.223,-0.016,-0.518,0,1611400
1991/08/01,00:00,2.543,1.952,1.644,1.014,1.004,0.374,0.203,-0.148,0,1611400
1991/09/01,00:00,2.362,2.064,1.762,1.132,1.132,0.502,0.364,0.115,0,1611400
1991/10/01,00:00,2.493,2.054,1.673,1.102,1.073,0.482,0.312,-0.407,0,1611400
1991/11/01,00:00,2.592,2.034,1.542,1.014,0.974,0.404,0.154,-0.276,0,1611400
1991/12/01,00:00,2.694,2.093,1.604,0.984,0.965,0.325,0.062,-0.548,0,1611400
1992/01/01,00:00,2.523,1.772,1.342,0.712,0.692,0.043,-0.075,-0.705,0,1611400
1992/02/01,00:00,2.283,1.644,1.243,0.692,0.663,0.082,-0.066,-0.397,0,1611400
1992/03/01,00:00,1.972,1.483,1.234,0.633,0.633,0.033,-0.066,-0.558,0,1611400
1992/04/01,00:00,2.162,1.752,1.404,0.833,0.823,0.243,0.062,-0.266,0,1611400
1992/05/01,00:00,2.392,2.005,1.473,0.932,0.902,0.325,0.052,-0.358,0,1611400
1992/06/01,00:00,2.382,1.903,1.332,0.784,0.755,0.164,-0.128,-0.518,0,1611400
1992/07/01,00:00,2.513,1.942,1.434,0.823,0.804,0.184,-0.066,-0.436,0,1611400
1992/08/01,00:00,2.205,1.844,1.542,0.912,0.912,0.282,0.102,-0.118,0,1611400
1992/09/01,00:00,4.984,2.244,1.893,1.204,1.224,0.554,0.404,0.115,0,1611400
1992/10/01,00:00,2.552,2.172,1.762,1.194,1.175,0.574,0.423,-0.118,0,1611400
1992/11/01,00:00,2.562,2.103,1.604,1.073,1.043,0.482,0.243,-0.226,0,1611400
1992/12/01,00:00,2.772,2.182,1.703,1.142,1.122,0.535,0.243,-0.177,0,1611400
1993/01/01,00:00,2.654,2.018,1.565,0.994,0.956,0.348,0.098,-0.24,0,1611400
1993/02/01,00:00,2.556,1.939,1.608,0.994,0.978,0.348,0.177,-0.092,0,1611400
1993/03/01,00:00,2.211,1.785,1.486,0.922,0.907,0.328,0.167,-0.059,0,1611400
1993/04/01,00:00,2.431,1.791,1.447,0.883,0.869,0.292,0.135,-0.125,0,1611400
1993/05/01,00:00,2.402,1.952,1.486,0.928,0.915,0.344,0.092,-0.217,0,1611400
1993/06/01,00:00,2.602,2.162,1.644,1.096,1.066,0.489,0.213,-0.128,0,1611400
1993/07/01,00:00,2.592,2.152,1.667,1.027,1.006,0.344,0.095,-0.171,0,1611400
1993/08/01,00:00,2.185,1.788,1.43,0.797,0.799,0.167,-0.036,-0.253,0,1611400
1993/09/01,00:00,2.041,1.844,1.565,0.968,0.955,0.344,0.213,-0.174,0,1611400
1993/10/01,00:00,2.241,1.811,1.424,0.866,0.848,0.272,0.079,-0.43,0,1611400
1993/11/01,00:00,1.965,1.499,0.978,0.463,0.425,-0.128,-0.404,-0.732,0,1611400
1993/12/01,00:00,2.149,1.637,1.135,0.538,0.518,-0.098,-0.331,-0.659,0,1611400
1994/01/01,00:00,2.093,1.526,1.099,0.515,0.494,-0.112,-0.364,-0.666,0,1611400
1994/02/01,00:00,1.663,1.342,1.063,0.469,0.446,-0.171,-0.341,-0.728,0,1611400
1994/03/01,00:00,1.972,1.568,1.243,0.653,0.64,0.036,-0.131,-0.446,0,1611400
1994/04/01,00:00,2.224,1.529,1.119,0.564,0.536,-0.046,-0.22,-0.558,0,1611400
1994/05/01,00:00,2.264,1.696,1.217,0.682,0.653,0.089,-0.121,-0.607,0,1611400
1994/06/01,00:00,2.182,1.67,1.188,0.646,0.622,0.056,-0.23,-0.486,0,1611400
1994/07/01,00:00,2.684,2.103,1.66,1.096,1.089,0.518,0.262,-0.108,0,1611400
1994/08/01,00:00,2.234,1.962,1.686,1.115,1.112,0.535,0.41,0.194,11,1611400
1994/09/01,00:00,2.293,1.929,1.654,1.086,1.081,0.509,0.39,0.243,0,1611400
1994/10/01,00:00,2.293,1.909,1.545,0.997,0.979,0.413,0.259,0.003,0,1611400
1994/11/01,00:00,2.723,2.041,1.568,1.01,0.991,0.413,0.161,-0.256,0,1611400
1994/12/01,00:00,2.454,2.041,1.486,0.928,0.894,0.302,0.01,-0.486,0,1611400
1995/01/01,00:00,2.713,2.103,1.588,1.004,0.971,0.354,0.082,-0.377,11,1611400
1995/02/01,00:00,2.283,1.827,1.49,0.909,0.901,0.312,0.154,-0.187,0,1611400
1995/03/01,00:00,1.982,1.542,1.299,0.722,0.714,0.128,0.039,-0.417,0,1611400
1995/04/01,00:00,2.362,1.939,1.611,1.037,1.029,0.446,0.272,-0.276,0,1611400
1995/05/01,00:00,2.562,1.965,1.486,0.932,0.909,0.331,0.102,-0.266,0,1611400
1995/06/01,00:00,2.283,1.732,1.247,0.715,0.692,0.138,-0.118,-0.607,0,1611400
1995/07/01,00:00,2.474,1.929,1.493,0.932,0.915,0.338,0.128,-0.397,0,1611400
1995/08/01,00:00,2.392,1.926,1.634,1.04,1.03,0.427,0.249,-0.095,0,1611400
1995/09/01,00:00,2.172,1.614,1.335,0.774,0.773,0.21,0.089,-0.128,0,1611400
1995/10/01,00:00,2.195,1.841,1.47,0.935,0.909,0.348,0.19,-0.266,0,1611400
1995/11/01,00:00,2.825,2.129,1.709,1.155,1.134,0.558,0.328,0.033,0,1611400
1995/12/01,00:00,2.743,2.231,1.765,1.198,1.178,0.591,0.338,-0.075,0,1611400
1996/01/01,00:00,2.736,2.126,1.68,1.106,1.088,0.495,0.23,-0.233,0,1611400
1996/02/01,00:00,2.123,1.683,1.385,0.771,0.769,0.154,0.02,-0.43,0,1611400
1996/03/01,00:00,2.182,1.631,1.352,0.804,0.791,0.23,0.102,-0.138,0,1611400
1996/04/01,00:00,2.129,1.703,1.371,0.83,0.814,0.256,0.098,-0.197,0,1611400
1996/05/01,00:00,2.201,1.857,1.437,0.876,0.86,0.282,0.059,-0.226,0,1611400
1996/06/01,00:00,2.503,1.909,1.391,0.86,0.833,0.276,0.023,-0.354,0,1611400
1996/07/01,00:00,2.438,2.087,1.634,1.056,1.027,0.42,0.203,-0.338,0,1611400
1996/08/01,00:00,2.398,2.123,1.772,1.155,1.142,0.512,0.308,0.01,0,1611400
1996/09/01,00:00,2.602,2.139,1.883,1.247,1.239,0.594,0.449,0.295,0,1611400
1996/10/01,00:00,2.661,2.293,1.946,1.375,1.358,0.771,0.6,0.308,0,1611400
1996/11/01,00:00,2.71,2.142,1.739,1.148,1.134,0.528,0.344,-0.079,0,1611400
1996/12/01,00:00,2.648,2.11,1.614,1.053,1.024,0.433,0.171,-0.295,0,1611400
